status,time,card_type,city,amount,id
fail,2025-09-04 14:00:00,MasterCard,THR,2484865,99
success,2025-09-14 23:59:00,Amex,Shiraz,1102052,69
success,2025-09-16 01:01:00,MasterCard,tehr@n,2797214,96
failed,2025-09-15 22:27:00,,Tabriz,4360226,77
fail,2025-09-08 23:17:00,Discover,Tabriz,1210097,43
success,2025-09-14 17:07:00,Amex,Karaj,4496664,1
success,2025-09-23 19:29:00,Visa,TEHRAN,953418,22
success,2025-09-28 02:37:00,Discover,karaj,3579651,62
failed,2025-09-25 19:40:00,MastCard,Karaj,94207,79
succeed,2025-09-30 13:10:00,Visa,Isfahan,1334035,26
fail,2025-09-08 11:11:00,Amex,Karaj,1713645,18
fail,2025-09-21 03:27:00,Visa,Ahvaz,3785589,48
fail,2025-09-16 07:08:00,Visa,Ahvaz,2991270,9
success,2025-09-13 10:48:00,MasterCard,Karaj,4885987,1
fail,2025-09-18 02:24:00,MastCard,Tehran,2028728,9
success,2025-09-15 09:45:00,Visa,Shiraz,2212399,23
success,2025-09-21 13:10:00,,Mashhad,3560389,45
success,2025-09-24 15:45:00,Visa,Tehran ,3072874,2
success,2025-09-26 07:07:00,Visa,Shiraz,2291881,14
success,2025-09-25 21:23:00,Visa,Shiraz,4760111,38
success,2025-09-28 04:40:00,Visa,,1637118,40
fail,2025-09-28 23:59:00,Visa,Tehran,2699839,63
success,2025-09-28 21:23:00,Vsa,Tabriz,4614679,82
success,2025-09-13 00:00:00,MasterCard,Shiraz,2356629,16
success,2025-09-09 08:08:00,Discover,Tabriz,4210431,94
failed,2025-09-29 14:11:00,Master Card,Isfahan,3657110,75
failed,2025-09-15 11:11:00,Discover,TEHRAN,2916764,6
failed,2025-09-13 06:06:00,Visa,Qom,2193950,3
fail,2025-09-01 16:40:00,Discover,Tehran,3504358,14
success,2025-09-25 09:00:00,Discover,Tabriz,3853603,66
fail,2025-09-07 18:12:00,MasterCard,Tehran,1281684,97
fail,2025-09-09 08:08:00,Discover,Qom,421009,96
fail,2025-09-24 08:08:00,MasterCard,Tehran,3403509,75
fail,2025-09-01 09:09:00,MastCard,THR,1492148,87
fail,2025-09-12 12:12:00,Vsa,Qom,4589837,67
success,2025-09-08 16:40:00,MastCard,Tehran,4531551,31
Success,2025-09-24 16:40:00,Visa,Tabriz,4441417,33
fail,2025-09-11 23:17:00,Visa,Shiraz,3041889,89
failed,2025-09-19 02:37:00,MasterCard,Isfahan,1261622,1
fail,2025-09-17 16:40:00,Visa,Mashhad,850478,44
fail,2025-09-08 22:27:00,Visa,TEHRAN,2560731,15
success,2025-09-03 02:37:00,MasterCard,Isfahan,2818488,37
success,2025-09-03 03:27:00,Discover,Isfahan,346854,27
fail,2025-09-01 02:37:00,MastCard,karaj,903892,48
fail,2025-09-27 19:40:00,Discover,Tabriz,3778183,27
success,2025-09-05 16:40:00,VISA,Tehran,4790453,12
fail,2025-09-10 02:20:00,MastCard,Tehran,1741589,67
success,2025-09-07 03:27:00,Visa,tehr@n,1168323,30
success,2025-09-26 09:09:00,MasterCard,tehr@n,1442198,97
fail,2025-09-09 21:21:00,Amex,Tabriz,180598,88
failed,2025-09-28 00:00:00,MastCard,Qom,1190462,66
fail,2025-09-07 23:59:00,MasterCard,Tehran,1386251,7
success,2025-09-09 10:48:00,MasterCard,Shiraz,1151271,34
success,2025-09-08 16:40:00,Discover,Tehran,861947,32
FAIL,2025-09-12 19:51:00,Discover,Tehran,4260775,39
success,2025-09-02 10:48:00,Master Card,karaj,254443,97
success,2025-09-01 04:15:00,Discover,Tabriz,3058450,43
fail,2025-09-16 12:34:00,Visa,Tehran,662547,43
success,2025-09-23 07:32:00,Visa,karaj,3148127,78
success,2025-09-23 22:27:00,Master-Card,Ahvaz,3752528,3
success,2025-09-30 18:00:00,Amex,Karaj,1739769,46
failed,2025-09-24 00:00:00,Vsa,TEHRAN,1299515,32
fail,2025-09-05 07:32:00,Vsa,Mashhad,709391,43
failed,2025-09-03 07:32:00,Vsa,Tehran,4664748,81
failed,2025-09-12 02:30:00,Amex,Tehran,2380548,3
success,2025-09-08 23:17:00,Visa,Tabriz,2306120,74
success,2025-09-22 20:33:00,Visa,Tehran,4956291,63
fail,2025-09-27 07:32:00,Amex,Qom,4357503,40
succeed,2025-09-03 12:12:00,Discover,Tehran,4216309,18
fail,2025-09-01 09:09:00,Amex,Isfahan,3277956,67
success,2025-09-03 23:59:00,MasterCard,Tehran,84504,62
success,2025-09-05 02:37:00,Amex,Isfahan,3447256,10
Success,2025-09-15 23:59:00,Visa,Shiraz,4125219,52
success,2025-09-14 02:30:00,Visa,Isfahan,577654,73
success,2025-09-03 21:10:00,MastCard,Isfahan,1253162,46
fail,2025-09-01 18:00:00,Visa,,3250936,55
fail,2025-09-05 05:56:00,Amex,Karaj,3141587,46
fail,2025-09-26 19:19:00,Amex,Mashhad,3491388,75
failed,2025-09-23 21:21:00,visa,Qom,4802331,60
success,2025-09-14 07:08:00,Vsa,Shiraz,3609604,98
success,2025-09-07 02:37:00,MasterCard,Tehran,4132828,26
success,2025-09-27 01:51:00,Amex,Tehran,1131098,27
success,2025-09-09 12:44:00,Visa,Shiraz,2456684,38
fail,2025-09-15 19:51:00,Discover,Isfahan,34686,22
fail,2025-09-15 00:00:00,MastCard,Tehran,4670519,26
fail,2025-09-26 02:37:00,Amex,Tabriz,693505,87
success,2025-09-10 22:27:00,MasterCard,Tehran,1986034,69
fail,2025-09-28 00:00:00,Visa,TEHRAN,3396497,35
success,2025-09-13 00:00:00,Vsa,Tabriz,2068370,66
success,2025-09-19 21:23:00,Discover,Tehran,4661024,100
success,2025-09-07 20:33:00,Vsa,Shiraz,4301531,73
fail,2025-09-17 10:48:00,Amex,Mashhad,3115310,51
fail,2025-09-20 20:33:00,Discover,Qom,2523408,18
fail,2025-09-29 00:00:00,Visa,Isfahan,1383366,43
success,2025-09-04 21:23:00,Discover,Mashhad,4173426,12
fail,2025-09-30 10:48:00,Master-Card,Ahvaz,2945850,3
failed,2025-09-05 10:05:00,Vsa,Tabriz,1687925,82
success,2025-09-23 13:13:00,Amex,Isfahan,614801,7
fail,2025-09-07 12:34:00,MasterCard,tehr@n,4566268,98
success,2025-09-13 23:17:00,Amex,Tehran,1356113,6
success,2025-09-15 01:51:00,MasterCard,Tabriz,229676,82
success,2025-09-11 09:00:00,Amex,Tehran,1187397,45
fail,2025-09-29 08:08:00,Discover,Tehran,4244474,87
fail,2025-09-04 09:45:00,Vsa,Tabriz,587069,39
fail,2025-09-13 18:45:00,MastCard,Tehran,412048,51
fail,2025-09-07 11:11:00,Discover,Tehran,1690231,9
failed,2025-09-27 02:54:00,Vsa,Isfahan,994090,100
success,2025-09-19 12:44:00,MasterCard,Tehran,369213,23
Success,2025-09-22 11:11:00,Visa,Ahvaz,479271,12
fail,2025-09-28 07:32:00,Visa,Ahvaz,3230966,89
fail,2025-09-02 23:17:00,MastCard,Isfahan,4831929,62
success,2025-09-10 14:11:00,Master-Card,ThRan,4455960,73
fail,2025-09-13 04:15:00,Vsa,Karaj,3244720,77
fail,2025-09-30 07:08:00,Amex,Karaj,274184,40
success,2025-09-25 02:20:00,Visa,Tehran,4454368,54
fail,2025-09-21 23:59:00,Visa,karaj,111599,81
success,2025-09-06 19:40:00,Discover,tehr@n,431835,7
fail,2025-09-28 20:33:00,Master-Card,Tabriz,3689074,17
success,2025-09-28 14:11:00,VISA,Karaj,3210617,50
failed,2025-09-12 22:27:00,Discover,Karaj,2253655,24
fail,2025-09-12 00:00:00,MastCard,Tabriz,3297344,2
Success,2025-09-20 21:21:00,Amex,Mashhad,2918324,100
success,2025-09-30 02:30:00,Visa,Tehran,1657522,93
Success,2025-09-30 10:05:00,MasterCard,Tehran,3028772,83
fail,2025-09-11 21:21:00,Vsa,Tehran,2467881,33
success,2025-09-26 03:27:00,Discover,Qom,4586271,21
fail,2025-09-23 21:23:00,Master-Card,Shiraz,1240470,74
success,2025-09-28 19:19:00,Discover,TEHRAN,1141646,53
success,2025-09-25 14:55:00,Visa,Qom,2989279,46
success,2025-09-07 14:02:00,Visa,Tabriz,1812510,45
Success,2025-09-30 14:11:00,Vsa,Tehran,3107004,9
fail,2025-09-01 02:30:00,MasterCard,THR,447581,6
fail,2025-09-01 14:00:00,Vsa,Mashhad,392256,51
success,2025-09-25 13:13:00,MasterCard,Karaj,4177287,35
success,2025-09-27 04:04:00,MasterCard,Tehran,732064,82
success,2025-09-30 10:05:00,Vsa,Mashhad,289104,53
success,2025-09-25 02:30:00,MasterCard,Tabriz,2653227,19
Success,2025-09-20 10:05:00,Vsa,Tehran,2464234,69
success,2025-09-13 19:29:00,Visa,Ahvaz,4392189,25
fail,2025-09-09 11:11:00,Amex,Mashhad,2425724,11
fail,2025-09-03 14:11:00,MastCard,Tabriz,4317160,74
FAIL,2025-09-07 00:00:00,Master-Card,Ahvaz,417392,17
success,2025-09-06 05:23:00,Visa,Mashhad,1341737,36
Success,2025-09-08 02:54:00,Amex,Tehran,3405635,91
fail,2025-09-27 10:48:00,MasterCard,tehr@n,4136828,96
success,2025-09-09 05:56:00,Discover,Tabriz,1944469,97
success,2025-09-30 10:05:00,Visa,karaj,666969,21
fail,2025-09-05 14:11:00,Visa,karaj,3517821,18
success,2025-09-01 00:00:00,Vsa,Tehran,682012,60
success,2025-09-19 03:00:00,MastCard,Mashhad,84805,18
success,2025-09-10 12:12:00,Discover,Tehran,2742009,1
failed,2025-09-12 19:19:00,Vsa,Isfahan,2690148,14
failed,2025-09-24 03:27:00,Visa,Karaj,180312,8
failed,2025-09-15 02:30:00,Amex,Tabriz,1645742,66
failed,2025-09-27 05:23:00,Master-Card,Tehran,616054,51
success,2025-09-22 02:37:00,Vsa,Mashhad,2323149,79
fail,2025-09-24 02:37:00,Discover,Qom,3073155,60
failed,2025-09-09 11:11:00,MastCard,Shiraz,3884397,34
success,2025-09-20 12:12:00,MasterCard,Ahvaz,2380853,36
fail,2025-09-17 08:08:00,Vsa,Karaj,845204,62
success,2025-09-30 14:30:00,MasterCard,karaj,2262544,1
fail,2025-09-17 07:08:00,MastCard,Tabriz,230294,85
success,2025-09-26 13:13:00,Visa,Qom,1916920,42
fail,2025-09-20 14:11:00,Amex,Isfahan,992004,1
fail,2025-09-12 20:33:00,Amex,Tehran ,4217750,97
Success,2025-09-30 02:24:00,Amex,Isfahan,1146474,84
success,2025-09-07 14:00:00,MastCard,Tehran ,3650078,54
success,2025-09-02 14:30:00,,Ahvaz,4905313,47
success,2025-09-03 17:17:00,Vsa,Karaj,3698725,39
failed,2025-09-17 05:56:00,Visa,Mashhad,1863871,30
success,2025-09-05 09:09:00,Vsa,Isfahan,4552891,7
success,2025-09-17 12:12:00,Visa,Mashhad,3744732,22
FAIL,2025-09-24 20:20:00,Amex,Tabriz,2521417,50
fail,2025-09-17 18:12:00,Master-Card,TEHRAN,4198200,45
Success,2025-09-27 02:20:00,Visa,Ahvaz,2291884,74
fail,2025-09-17 21:21:00,Master-Card,Ahvaz,3397238,72
success,2025-09-02 20:20:00,Vsa,Isfahan,1075987,92
fail,2025-09-02 12:12:00,MasterCard,Tehran,3027344,10
success,2025-09-28 11:11:00,Discover,Karaj,4524553,14
success,2025-09-22 07:08:00,MasterCard,Isfahan,1439578,46
succeed,2025-09-23 23:59:00,VISA,THR,2388127,75
FAIL,2025-09-05 10:05:00,Visa,Ahvaz,1145333,6
FAIL,2025-09-01 10:48:00,Amex,Tehran,3553590,21
fail,2025-09-01 14:02:00,Visa,Qom,2000956,62
succeed,2025-09-19 14:55:00,Visa,Karaj,1223642,98
success,2025-09-30 02:30:00,MastCard,Qom,4526556,19
failed,2025-09-02 19:51:00,Discover,Mashhad,4454391,89
fail,2025-09-21 10:48:00,visa,Tabriz,1984605,82
success,2025-09-12 20:20:00,MasterCard,Tabriz,4006226,100
FAIL,2025-09-26 21:21:00,MasterCard,Ahvaz,217499,62
Success,2025-09-06 23:59:00,Visa,Tehran,1246676,83
success,2025-09-23 01:01:00,Master Card,Ahvaz,972503,53
failed,2025-09-04 09:45:00,Visa,Mashhad,4714563,24
fail,2025-09-23 14:11:00,MasterCard,tehr@n,2113444,56
success,2025-09-11 02:37:00,MasterCard,,682372,62
success,2025-09-24 07:32:00,MasterCard,Shiraz,1869756,34
fail,2025-09-27 05:56:00,Amex,Isfahan,3874466,22
fail,2025-09-17 10:05:00,Amex,Mashhad,2199564,68
fail,2025-09-06 19:40:00,Visa,Tabriz,3643601,57
success,2025-09-24 15:45:00,MasterCard,Tehran,1229164,10
fail,2025-09-05 14:11:00,Vsa,Qom,2248396,66
success,2025-09-20 12:34:00,MasterCard,Ahvaz,1504402,8
fail,2025-09-02 11:11:00,Visa,Tabriz,1536036,98
success,2025-09-06 06:30:00,Discover,Isfahan,454143,38
success,2025-09-22 08:08:00,Visa,Qom,4825115,62
success,2025-09-11 14:55:00,Visa,TEHRAN,564465,28
success,2025-09-16 21:21:00,Discover,Tehran,1321175,10
success,2025-09-16 04:40:00,MasterCard,Tabriz,4276602,45
fail,2025-09-01 11:11:00,Visa,TEHRAN,210471,65
failed,2025-09-09 02:54:00,Amex,Tehran,1738006,99
fail,2025-09-28 09:00:00,visa,Shiraz,4299319,67
fail,2025-09-27 21:23:00,VISA,Shiraz,2292454,9
success,2025-09-06 06:06:00,Vsa,Isfahan,4821598,5
fail,2025-09-16 00:00:00,Discover,Mashhad,4212490,10
failed,2025-09-29 23:59:00,Visa,THR,3665006,12
fail,2025-09-03 05:23:00,Vsa,Tehran,3679202,82
success,2025-09-20 12:44:00,Visa,Tabriz,1908283,58
fail,2025-09-28 19:29:00,Visa,Mashhad,2942153,21
fail,2025-09-27 13:10:00,MasterCard,Isfahan,3484736,21
fail,2025-09-04 14:11:00,Visa,Qom,2046668,65
failed,2025-09-19 23:59:00,Vsa,TEHRAN,1927139,3
FAIL,2025-09-26 07:08:00,Vsa,TEHRAN,2192476,69
success,2025-09-03 03:27:00,MastCard,Tabriz,140681,90
failed,2025-09-19 14:55:00,Vsa,Tabriz,4033492,64
success,2025-09-20 19:51:00,Visa,Tehran,118036,49
FAIL,2025-09-07 07:08:00,MastCard,TEHRAN,1118396,72
failed,2025-09-20 16:40:00,Discover,Isfahan,2640504,17
fail,2025-09-09 03:00:00,MastCard,Mashhad,2875046,73
success,2025-09-01 19:51:00,Visa,Ahvaz,4204561,32
success,2025-09-08 19:51:00,MastCard,Mashhad,4900700,70
fail,2025-09-07 17:17:00,VISA,Tehran,224222,21
fail,2025-09-18 10:48:00,Visa,Isfahan,1476999,7
Success,2025-09-08 11:11:00,Visa,Shiraz,3178541,7
Success,2025-09-01 02:37:00,Visa,Karaj,175428,27
failed,2025-09-11 13:10:00,MasterCard,Shiraz,3174569,8
succeed,2025-09-28 02:30:00,Discover,Tehran,4204265,73
failed,2025-09-25 11:11:00,Vsa,Tabriz,155297,28
fail,2025-09-25 05:23:00,MasterCard,Karaj,2363915,79
fail,2025-09-18 12:12:00,MasterCard,THR,2750112,66
fail,2025-09-23 11:11:00,MastCard,Tehran,280293,71
fail,2025-09-30 17:07:00,Discover,Tehran,182701,47
fail,2025-09-10 02:30:00,Discover,Shiraz,2394520,82
success,2025-09-03 18:12:00,MastCard,Qom,683816,87
failed,2025-09-07 01:01:00,Vsa,Tehran,965125,10
failed,2025-09-28 21:10:00,Visa,Qom,4938757,33
success,2025-09-16 13:13:00,Visa,Tehran ,2381220,7
Success,2025-09-26 10:48:00,Visa,Shiraz,1488210,3
success,2025-09-16 12:44:00,Discover,Mashhad,1186296,14
failed,2025-09-25 04:40:00,Discover,karaj,4086589,44
success,2025-09-20 12:12:00,MastCard,Tabriz,4277947,46
fail,2025-09-28 20:33:00,Vsa,Isfahan,4298098,61
Success,2025-09-17 05:56:00,Visa,Mashhad,2555256,36
fail,2025-09-02 07:08:00,Amex,Mashhad,1092327,13
success,2025-09-01 20:33:00,Discover,TEHRAN,3195833,16
fail,2025-09-16 19:51:00,MasterCard,Tabriz,3743236,80
success,2025-09-30 21:10:00,Amex,Tehran,2593837,5
succeed,2025-09-12 16:40:00,Master-Card,TEHRAN,4232931,90
fail,2025-09-05 09:45:00,Visa,Tabriz,419226,38
failed,2025-09-05 19:40:00,Visa,Isfahan,1300584,50
fail,2025-09-27 04:15:00,Amex,Mashhad,4272574,38
fail,2025-09-23 23:17:00,MasterCard,Tehran ,3177463,56
fail,2025-09-09 19:51:00,Visa,Mashhad,1447196,63
success,2025-09-09 23:17:00,Visa,Mashhad,4367197,48
fail,2025-09-03 16:16:00,Amex,Qom,482258,91
success,2025-09-19 14:11:00,Discover,Tehran ,219671,59
fail,2025-09-16 23:17:00,visa,karaj,2816556,77
fail,2025-09-16 12:44:00,MasterCard,Tehran,152269,44
success,2025-09-03 13:13:00,Visa,Ahvaz,2057172,91
fail,2025-09-20 14:30:00,Amex,karaj,4134154,55
fail,2025-09-24 07:08:00,Discover,Karaj,2538026,55
fail,2025-09-22 07:08:00,MasterCard,Shiraz,116185,1
success,2025-09-24 03:00:00,MasterCard,Isfahan,517234,8
success,2025-09-01 10:48:00,MasterCard,Shiraz,3437701,4
fail,2025-09-24 06:30:00,Vsa,Karaj,88991,85
fail,2025-09-20 12:44:00,Visa,Tehran,1146617,87
success,2025-09-11 03:27:00,Master-Card,Tabriz,4074631,53
fail,2025-09-17 09:00:00,Vsa,Tehran,892406,58
failed,2025-09-08 07:07:00,Discover,karaj,1723382,37
success,2025-09-04 07:08:00,Visa,Karaj,1497460,49
success,2025-09-06 01:01:00,Discover,Mashhad,2046740,67
fail,2025-09-08 16:40:00,Discover,karaj,1782782,19
success,2025-09-20 07:08:00,Amex,Karaj,202743,1
failed,2025-09-30 12:44:00,Visa,TEHRAN,3081740,29
success,2025-09-03 14:11:00,,Tehran,1204598,88
success,2025-09-16 12:34:00,Visa,Mashhad,954076,33
success,2025-09-30 10:05:00,Discover,Karaj,3944716,52
success,2025-09-25 09:45:00,Visa,Tabriz,574144,41
fail,2025-09-03 08:59:00,Discover,Tabriz,2637781,23
success,2025-09-25 07:08:00,Vsa,Isfahan,2447579,5
fail,2025-09-29 16:16:00,Amex,Ahvaz,1710705,71
success,2025-09-18 10:48:00,Visa,Mashhad,3888839,57
failed,2025-09-14 08:59:00,Master-Card,Mashhad,979734,6
failed,2025-09-18 20:33:00,Vsa,Isfahan,1369484,49
success,2025-09-02 19:51:00,MastCard,Tabriz,252077,22
fail,2025-09-22 23:17:00,Vsa,TEHRAN,2406714,77
fail,2025-09-03 07:08:00,Amex,Tabriz,4685355,76
success,2025-09-16 02:24:00,MasterCard,Qom,1136387,4
failed,2025-09-29 12:44:00,Discover,Tehran,405761,72
success,2025-09-09 21:21:00,Visa,Isfahan,305928,64
fail,2025-09-04 07:32:00,Amex,TEHRAN,3883610,37
Success,2025-09-01 23:59:00,Master-Card,,4070002,31
succeed,2025-09-04 21:21:00,Amex,Isfahan,1320600,37
success,2025-09-01 04:15:00,,Tehran,497066,45
success,2025-09-14 08:08:00,Discover,Tabriz,2203916,91
success,2025-09-21 14:00:00,MastCard,Tabriz,1526845,8
success,2025-09-16 10:05:00,Amex,Shiraz,2733230,40
FAIL,2025-09-20 10:05:00,MastCard,Mashhad,1862023,98
fail,2025-09-24 13:13:00,Amex,Ahvaz,4761452,94
success,2025-09-08 03:27:00,Visa,Karaj,54963,5
success,2025-09-07 15:45:00,Visa,Tabriz,4483465,28
failed,2025-09-03 04:15:00,VISA,Ahvaz,1186957,81
failed,2025-09-17 10:48:00,Visa,karaj,4835003,88
FAIL,2025-09-01 23:59:00,MasterCard,Qom,1150368,9
success,2025-09-16 10:05:00,MasterCard,TEHRAN,4128496,2
failed,2025-09-12 13:13:00,Discover,Ahvaz,4497882,63
success,2025-09-27 15:45:00,Vsa,Qom,427156,97
success,2025-09-19 09:09:00,MastCard,TEHRAN,3949822,51
fail,2025-09-22 07:07:00,Master-Card,Qom,4102013,31
failed,2025-09-23 04:40:00,MasterCard,Mashhad,2714184,7
succeed,2025-09-22 04:15:00,Amex,Isfahan,4054473,30
fail,2025-09-14 20:20:00,Master-Card,THR,884772,58
fail,2025-09-30 07:32:00,visa,Tehran,2414574,3
failed,2025-09-06 14:00:00,VISA,Mashhad,4446044,51
success,2025-09-06 05:23:00,MastCard,Qom,1987860,56
FAIL,2025-09-13 06:30:00,Visa,Qom,525125,73
fail,2025-09-19 16:16:00,Visa,Shiraz,560745,10
fail,2025-09-22 02:54:00,Vsa,Mashhad,1665586,61
success,2025-09-08 02:30:00,Vsa,Tabriz,4623521,50
fail,2025-09-27 19:51:00,MastCard,THR,3109758,47
fail,2025-09-27 07:07:00,Discover,Shiraz,2468322,91
fail,2025-09-02 21:23:00,Amex,THR,775179,1
fail,2025-09-21 11:11:00,Discover,Tabriz,453518,95
fail,2025-09-30 21:23:00,MasterCard,Shiraz,1955884,57
Success,2025-09-01 08:59:00,Discover,Karaj,2381714,38
fail,2025-09-28 19:51:00,,Isfahan,1521671,62
success,2025-09-15 21:21:00,Discover,karaj,4513691,79
failed,2025-09-01 14:30:00,Amex,Tehran,71730,90
success,2025-09-05 17:17:00,Discover,Qom,3051989,70
success,2025-09-28 21:23:00,Amex,Shiraz,1928921,82
success,2025-09-29 21:21:00,Amex,Mashhad,1427286,65
failed,2025-09-16 09:45:00,,Shiraz,551005,62
failed,2025-09-19 16:40:00,Visa,Tehran,3083324,56
